Page,Title,Link
4,"Pan 2015 2160p UHD BluRay REMUX HDR HEVC Atmos-EPSiLON",https://hduse.net/topic-pan-2015-2160p-uhd-bluray-remux-hdr-hevc-atmos-epsilon-31237.html
4,"Mayhem 2017 2160p UHD BluRay REMUX SDR HEVC DTS-HD MA 5.1-EPSiLON",https://hduse.net/topic-mayhem-2017-2160p-uhd-bluray-remux-sdr-hevc-dts-hd-ma-5-1-epsilon-31235.html
4,"Uncharted 2022 2160p UHD Blu-ray Remux HEVC DV TrueHD 7 1-HDT",https://hduse.net/topic-uncharted-2022-2160p-uhd-blu-ray-remux-hevc-dv-truehd-7-1-hdt-31158.html
4,"Hotel Artemis 2018 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1-TURG",https://hduse.net/topic-hotel-artemis-2018-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-5-1-turg-31156.html
4,"Marnie 1964 2160p UHD Blu-ray Remux HEVC DTS-HD MA 2 0-HDT",https://hduse.net/topic-marnie-1964-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-2-0-hdt-31154.html
4,"Shadow of a Doubt 1943 2160p UHD Blu-ray Remux HEVC DTS-HD MA 2 0-HDT",https://hduse.net/topic-shadow-of-a-doubt-1943-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-2-0-hdt-31152.html
4,"Turning Red 2022 2160p UHD Blu-ray Remux HEVC TrueHD 7 1-HDT",https://hduse.net/topic-turning-red-2022-2160p-uhd-blu-ray-remux-hevc-truehd-7-1-hdt-31003.html
4,"WarHunt 2022 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1-HDT",https://hduse.net/topic-warhunt-2022-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-5-1-hdt-30944.html
4,"Hunter Hunter 2020 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1-HDT",https://hduse.net/topic-hunter-hunter-2020-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-5-1-hdt-30942.html
4,"Moonfall 2022 2160p UHD Blu-ray Remux HEVC DV TrueHD 7 1-HDT",https://hduse.net/topic-moonfall-2022-2160p-uhd-blu-ray-remux-hevc-dv-truehd-7-1-hdt-30764.html
4,"Paddington 2 2017 2160p UHD BluRay Remux HEVC TrueHD7 1 Atmos-HQMUX",https://hduse.net/topic-paddington-2-2017-2160p-uhd-bluray-remux-hevc-truehd7-1-atmos-hqmux-30760.html
4,"Singin in the Rain 1952 2160p UHD BluRay REMUX HDR HEVC DTS-HD MA 5.1-EPSiLON",https://hduse.net/topic-singin-in-the-rain-1952-2160p-uhd-bluray-remux-hdr-hevc-dts-hd-ma-5-1-epsilon-30758.html
4,"Twelve Monkeys 1995 2160p UHD Blu-ray Remux HEVC DV DTS-HD MA 5.1-HDT",https://hduse.net/topic-twelve-monkeys-1995-2160p-uhd-blu-ray-remux-hevc-dv-dts-hd-ma-5-1-hdt-30703.html
4,"Les Fauves 1984 2160p UHD Blu-ray Remux HEVC DTS-HD MA 2 0-HDT",https://hduse.net/topic-les-fauves-1984-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-2-0-hdt-30508.html
5,"Bayan ko Kapit sa patalim 1984 2160p UHD Blu-ray Remux HEVC DTS-HD MA 2 0-HDT",https://hduse.net/topic-bayan-ko-kapit-sa-patalim-1984-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-2-0-hdt-30506.html
5,"Gunpowder Milkshake 2021 2160p UHD Blu-ray Remux HEVC DV TrueHD 7 1-HDT",https://hduse.net/topic-gunpowder-milkshake-2021-2160p-uhd-blu-ray-remux-hevc-dv-truehd-7-1-hdt-30504.html
5,"Christiane F 1981 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1-HDT",https://hduse.net/topic-christiane-f-1981-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-5-1-hdt-30228.html
5,"Daddys Home (2015-2017) 2160p UHD BluRay REMUX HDR HEVC DTS-X-EPSiLON",https://hduse.net/topic-daddys-home-2015-2017-2160p-uhd-bluray-remux-hdr-hevc-dts-x-epsilon-30226.html
5,"The Proposition 2005 2160p UHD Blu-ray Remux HEVC DV DTS-HD MA 5.1-HDT",https://hduse.net/topic-the-proposition-2005-2160p-uhd-blu-ray-remux-hevc-dv-dts-hd-ma-5-1-hdt-30165.html
5,"Death on the Nile 2022 2160p UHD Blu-ray Remux HEVC Atmos - KRaLiMaRKo",https://hduse.net/topic-death-on-the-nile-2022-2160p-uhd-blu-ray-remux-hevc-atmos-kralimarko-30157.html
5,"The 355 (2022) 2160p UHD BluRay REMUX HEVC DoVi [EN] TrueHD Atmos 7 1-TURG",https://hduse.net/topic-the-355-2022-2160p-uhd-bluray-remux-hevc-dovi-en-truehd-atmos-7-1-turg-30155.html
5,"Fatale 2020 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1-HDT",https://hduse.net/topic-fatale-2020-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-5-1-hdt-30089.html
5,"Hospital Massacre 1981 2160p UHD BluRay REMUX HDR HEVC FLAC 2 0-Kenobi",https://hduse.net/topic-hospital-massacre-1981-2160p-uhd-bluray-remux-hdr-hevc-flac-2-0-kenobi-30087.html
5,"Song to Song 2017 2160p UHD BluRay REMUX SDR HEVC DTS-HD MA 5.1-EPSiLON",https://hduse.net/topic-song-to-song-2017-2160p-uhd-bluray-remux-sdr-hevc-dts-hd-ma-5-1-epsilon-30085.html
5,"Death on the Nile 2022 HYBRID 2160p UHD Blu-ray Remux DV HDR10 HEVC TrueHD 7.1 Atmos-",https://hduse.net/topic-death-on-the-nile-2022-hybrid-2160p-uhd-blu-ray-remux-dv-hdr10-hevc-truehd-7-1-atmos-29822.html
5,"Scream 2022 2160p UHD Blu-ray Remux HEVC DV DTS-HD MA 7 1-HDT",https://hduse.net/topic-scream-2022-2160p-uhd-blu-ray-remux-hevc-dv-dts-hd-ma-7-1-hdt-29795.html
5,"RoboCop 1987 2160p UHD Blu-ray Remux HEVC DV TrueHD 7 1-HDT",https://hduse.net/topic-robocop-1987-2160p-uhd-blu-ray-remux-hevc-dv-truehd-7-1-hdt-29744.html
5,"Pride and Prejudice and Zombies 2016 2160p UHD BluRay REMUX HDR HEVC Atmos-EPSiLON",https://hduse.net/topic-pride-and-prejudice-and-zombies-2016-2160p-uhd-bluray-remux-hdr-hevc-atmos-epsilon-29742.html
5,"Criminal 2016 2160p UHD BluRay REMUX HDR HEVC DTS-HD MA 5.1-EPSiLON",https://hduse.net/topic-criminal-2016-2160p-uhd-bluray-remux-hdr-hevc-dts-hd-ma-5-1-epsilon-29719.html
5,"Snow White and the Huntsman 2012 Extended 2160p UHD BluRay REMUX HDR HEVC DTS-X-EPSiL",https://hduse.net/topic-snow-white-and-the-huntsman-2012-extended-2160p-uhd-bluray-remux-hdr-hevc-dts-x-epsil-29709.html
5,"The Texas Chain Saw Massacre 1974 2160p UHD Blu-ray Remux HEVC DV TrueHD 7 1-HDT",https://hduse.net/topic-the-texas-chain-saw-massacre-1974-2160p-uhd-blu-ray-remux-hevc-dv-truehd-7-1-hdt-29707.html
5,"Schizoid 1980 2160p UHD Blu-ray Remux HEVC DTS-HD MA 2 0-HDT",https://hduse.net/topic-schizoid-1980-2160p-uhd-blu-ray-remux-hevc-dts-hd-ma-2-0-hdt-29596.html
5,"Joy 2015 2160p UHD BluRay REMUX HDR HEVC DTS-HD MA 5.1-EPSiLON",https://hduse.net/topic-joy-2015-2160p-uhd-bluray-remux-hdr-hevc-dts-hd-ma-5-1-epsilon-29594.html
5,"Allegiant 2016 2160p UHD BluRay HDR REMUX HEVC Atmos-EPSiLON",https://hduse.net/topic-allegiant-2016-2160p-uhd-bluray-hdr-remux-hevc-atmos-epsilon-29592.html
6,"The Apartment 1960 2160p UHD Remux HEVC SDR DTS-HD MA 2 0-playBD",https://hduse.net/topic-the-apartment-1960-2160p-uhd-remux-hevc-sdr-dts-hd-ma-2-0-playbd-29528.html
6,"Sing 2 2021 UHD BluRay 2160p TrueHD Atmos 7.1 DV HEVC REMUX-FraMeSToR",https://hduse.net/topic-sing-2-2021-uhd-bluray-2160p-truehd-atmos-7-1-dv-hevc-remux-framestor-29499.html
6,"Risen 2016 2160p UHD BluRay REMUX HDR HEVC Atmos-EPSiLON",https://hduse.net/topic-risen-2016-2160p-uhd-bluray-remux-hdr-hevc-atmos-epsilon-29463.html
6,"Reeker 2005 2160p UHD Remux HEVC HDR DTS-HD MA 5.1-playBD",https://hduse.net/topic-reeker-2005-2160p-uhd-remux-hevc-hdr-dts-hd-ma-5-1-playbd-29461.html
6,"Ghostbusters 2016 Extended 2160p UHD BluRay REMUX HDR HEVC DTS-HD MA 5.1-EPSiLON",https://hduse.net/topic-ghostbusters-2016-extended-2160p-uhd-bluray-remux-hdr-hevc-dts-hd-ma-5-1-epsilon-29459.html
6,"Dredd 2012 UHD BluRay 2160p TrueHD Atmos 7.1 DV HEVC HYBRID REMUX-FraMeSToR",https://hduse.net/topic-dredd-2012-uhd-bluray-2160p-truehd-atmos-7-1-dv-hevc-hybrid-remux-framestor-29438.html
